1 111 0.0008 0.0004 100.0 518.67 642.67 1584.38 1408.11 14.62 21.61 553.49 2388.12 9051.64 1.30 47.62 521.53 2388.14 8132.40 8.4447 0.03 392 2388 100.00 38.92 23.2135  	81
2 206 -0.0004 -0.0003 100.0 518.67 642.51 1588.18 1411.14 14.62 21.61 553.86 2388.03 9059.13 1.30 47.24 521.37 2388.08 8145.04 8.4086 0.03 391 2388 100.00 38.80 23.3974  	81
3 98 0.0006 -0.0004 100.0 518.67 642.40 1586.19 1403.62 14.62 21.61 553.85 2388.03 9066.24 1.30 47.35 521.93 2388.06 8148.92 8.4405 0.03 392 2388 100.00 38.96 23.2921  	81
4 108 -0.0026 0.0000 100.0 518.67 642.13 1585.18 1412.75 14.62 21.61 553.97 2388.07 9068.42 1.30 47.44 521.99 2388.07 8144.81 8.4316 0.03 394 2388 100.00 38.93 23.3725  	81
5 188 0.0004 -0.0004 100.0 518.67 642.91 1587.14 1406.65 14.62 21.61 553.35 2388.06 9093.76 1.30 47.32 521.95 2388.03 8159.18 8.4366 0.03 393 2388 100.00 38.87 23.2728  	81
6 107 -0.0004 -0.0004 100.0 518.67 642.85 1590.97 1409.77 14.62 21.61 553.18 2388.15 9039.82 1.30 47.73 521.58 2388.12 8123.82 8.4887 0.03 393 2388 100.00 38.77 23.2435  	81
7 178 -0.0012 0.0002 100.0 518.67 642.67 1588.09 1411.27 14.62 21.61 553.20 2388.09 9076.86 1.30 47.49 521.47 2388.09 8157.58 8.3954 0.03 391 2388 100.00 38.66 23.3998  	81
8 69 -0.0028 0.0002 100.0 518.67 643.06 1590.31 1411.50 14.62 21.61 553.19 2388.19 9046.08 1.30 47.57 520.99 2388.14 8127.49 8.4424 0.03 396 2388 100.00 38.79 23.2364  	81
9 120 -0.0011 0.0001 100.0 518.67 642.01 1580.71 1394.99 14.62 21.60 554.40 2388.02 9087.44 1.30 47.18 521.88 2388.00 8160.93 8.4111 0.03 394 2388 100.00 38.89 23.4211  	81
10 141 -0.0026 -0.0003 100.0 518.67 642.71 1581.51 1403.74 14.62 21.61 554.28 2388.07 9066.81 1.30 47.36 521.84 2388.10 8153.43 8.4452 0.03 393 2388 100.00 38.93 23.2287  	81
11 159 -0.0037 -0.0003 100.0 518.67 642.04 1593.59 1412.72 14.62 21.60 553.48 2388.09 9068.39 1.30 47.25 521.82 2388.02 8150.18 8.4349 0.03 392 2388 100.00 38.82 23.4165  	81
12 89 -0.0039 0.0005 100.0 518.67 642.46 1590.54 1414.97 14.62 21.61 552.86 2388.12 9045.73 1.30 47.48 520.65 2388.12 8127.79 8.4149 0.03 391 2388 100.00 38.90 23.2920  	81
13 82 -0.0022 -0.0003 100.0 518.67 642.90 1593.79 1402.78 14.62 21.61 553.04 2388.09 9060.44 1.30 47.52 521.21 2388.05 8146.24 8.4112 0.03 392 2388 100.00 38.76 23.1750  	81
14 99 -0.0001 0.0004 100.0 518.67 642.70 1589.19 1414.60 14.62 21.61 552.51 2388.14 9069.88 1.30 47.70 520.92 2388.11 8142.45 8.4195 0.03 392 2388 100.00 38.85 23.3029  	81
15 126 -0.0005 -0.0003 100.0 518.67 641.95 1593.68 1401.22 14.62 21.61 553.51 2388.10 9054.76 1.30 47.50 522.23 2388.02 8130.60 8.4258 0.03 394 2388 100.00 38.93 23.2533  	81
16 128 -0.0016 -0.0004 100.0 518.67 643.40 1595.63 1415.95 14.62 21.61 553.38 2388.12 9065.53 1.30 47.89 520.44 2388.13 8132.43 8.4715 0.03 395 2388 100.00 38.66 23.3204  	81
17 195 0.0033 0.0003 100.0 518.67 642.85 1584.21 1405.30 14.62 21.61 554.27 2388.00 9086.46 1.30 47.36 521.97 2388.03 8163.03 8.4251 0.03 395 2388 100.00 38.97 23.3354  	81
18 114 0.0021 -0.0002 100.0 518.67 642.23 1587.46 1404.07 14.62 21.61 553.42 2388.02 9073.91 1.30 47.34 521.86 2388.01 8157.48 8.4375 0.03 392 2388 100.00 38.94 23.4542  	81
19 77 -0.0028 -0.0001 100.0 518.67 642.90 1595.62 1414.26 14.62 21.61 553.04 2388.15 9037.13 1.30 47.73 521.20 2388.17 8127.89 8.4324 0.03 395 2388 100.00 38.90 23.2269  	81
20 153 -0.0017 0.0002 100.0 518.67 642.86 1588.39 1412.65 14.62 21.61 553.11 2388.10 9061.32 1.30 47.49 520.98 2388.18 8139.06 8.4500 0.03 394 2388 100.00 38.62 23.2965  	81
21 114 -0.0043 0.0002 100.0 518.67 643.37 1598.34 1412.58 14.62 21.61 553.66 2388.07 9059.98 1.30 47.51 521.46 2388.07 8139.84 8.4606 0.03 393 2388 100.00 38.74 23.2756  	81
22 121 -0.0009 -0.0004 100.0 518.67 643.19 1590.41 1416.03 14.62 21.61 552.20 2388.15 9048.46 1.30 47.85 521.04 2388.15 8131.93 8.4749 0.03 395 2388 100.00 38.83 23.2410  	81
23 87 -0.0014 -0.0004 100.0 518.67 643.14 1588.12 1407.46 14.62 21.61 553.00 2388.11 9049.48 1.30 47.53 521.96 2388.14 8127.62 8.4760 0.03 393 2388 100.00 38.84 23.2281  	81
24 66 0.0008 -0.0003 100.0 518.67 642.44 1588.16 1401.97 14.62 21.61 554.22 2388.01 9060.68 1.30 47.27 521.29 2388.05 8144.87 8.4125 0.03 391 2388 100.00 38.94 23.2961  	81
25 149 0.0009 0.0004 100.0 518.67 642.76 1603.11 1412.99 14.62 21.61 552.80 2388.12 9057.19 1.30 47.72 521.26 2388.09 8143.81 8.4501 0.03 393 2388 100.00 38.76 23.2608  	81
26 118 0.0007 -0.0002 100.0 518.67 642.91 1595.51 1408.94 14.62 21.61 553.52 2388.13 9053.53 1.30 47.63 521.58 2388.11 8141.79 8.4692 0.03 393 2388 100.00 38.79 23.3029  	81
27 75 -0.0002 0.0004 100.0 518.67 642.76 1589.51 1411.99 14.62 21.61 553.49 2388.04 9071.52 1.30 47.46 521.93 2388.13 8144.03 8.4467 0.03 393 2388 100.00 38.68 23.3404  	81
28 84 -0.0019 -0.0003 100.0 518.67 642.23 1584.76 1397.48 14.62 21.61 554.00 2388.03 9075.51 1.30 47.08 521.99 2388.04 8148.28 8.4306 0.03 392 2388 100.00 38.94 23.3750  	81
29 82 0.0041 -0.0002 100.0 518.67 643.11 1596.59 1414.97 14.62 21.61 552.89 2388.10 9058.45 1.30 47.53 521.73 2388.08 8139.19 8.4494 0.03 393 2388 100.00 38.87 23.3487  	81
